,ratingDescription,release year,user rating size,rating_G,rating_NR,rating_PG,rating_PG-13,rating_R,rating_TV-14,rating_TV-G,rating_TV-MA,rating_TV-PG,rating_TV-Y,rating_TV-Y7,rating_TV-Y7-FV,user rating score,,
76,124,2016,80,0,1,0,0,0,0,0,0,0,0,0,0,66,,
77,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,75,,
78,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,91,,
79,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,63,,
80,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,94,,
82,70,2016,80,0,0,0,0,0,0,0,0,1,0,0,0,97,,
84,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,91,,
85,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,92,,
86,60,2016,80,0,0,1,0,0,0,0,0,0,0,0,0,98,,
87,100,2016,80,0,0,0,0,1,0,0,0,0,0,0,0,90,,
88,60,2016,80,0,0,1,0,0,0,0,0,0,0,0,0,95,,
89,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,80,,
90,100,2016,80,0,0,0,0,1,0,0,0,0,0,0,0,74,,
91,60,2016,80,0,0,1,0,0,0,0,0,0,0,0,0,94,,
92,100,2016,80,0,0,0,0,1,0,0,0,0,0,0,0,68,,
93,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,82,,
95,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,99,,
96,90,2017,80,0,0,0,0,0,1,0,0,0,0,0,0,92,,
97,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,93,,
98,70,2016,80,0,0,0,0,0,0,0,0,1,0,0,0,71,,
99,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,94,,
103,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,98,,
104,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,63,,
105,90,2014,80,0,0,0,0,0,1,0,0,0,0,0,0,83,,
106,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,90,,
107,110,2014,80,0,0,0,0,0,0,0,1,0,0,0,0,80,,
108,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,86,,
109,90,2003,80,0,0,0,0,0,1,0,0,0,0,0,0,91,,
110,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,74,,
111,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,79,,
112,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,69,,
115,90,2013,80,0,0,0,0,0,1,0,0,0,0,0,0,58,,
118,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,94,,
121,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,94,,
122,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,78,,
123,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,66,,
124,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,82,,
131,70,2016,80,0,0,0,0,0,0,0,0,1,0,0,0,73,,
132,90,2015,80,0,0,0,0,0,1,0,0,0,0,0,0,58,,
135,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,80,,
138,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,63,,
141,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,94,,
142,90,2017,80,0,0,0,0,0,1,0,0,0,0,0,0,68,,
143,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,69,,
147,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,93,,
148,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,79,,
152,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,86,,
153,90,2012,80,0,0,0,0,0,1,0,0,0,0,0,0,56,,
155,90,2013,80,0,0,0,0,0,1,0,0,0,0,0,0,64,,
157,110,2016,80,0,0,0,0,0,0,0,1,0,0,0,0,89,,
158,110,2014,80,0,0,0,0,0,0,0,1,0,0,0,0,95,,
159,90,2016,80,0,0,0,0,0,1,0,0,0,0,0,0,56,,
163,110,2017,80,0,0,0,0,0,0,0,1,0,0,0,0,98,,
